Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create Prod to Stage sync job for SMT / Adswizz data,AR-1033,114712,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,19/Oct/15 5:17 PM,18/Nov/15 2:49 PM,03/May/19 9:53 AM,18/Nov/15 2:49 PM,,,,,,,,,0,,Create Prod to Stage sync job for SMT / Adswizz data,,amamut,ccrnyc1mcr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav53:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,27/Oct/15 12:16 PM;amamut;Job is complete and needs testing in stage. ,27/Oct/15 3:37 PM;ccrnyc1mcr;please provide instructions on how i can test.  thanks.  ,,,,,,,,
find and murder imgproxy,AR-1032,114560,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tlong,tlong,15/Oct/15 4:59 PM,04/Nov/15 8:35 PM,03/May/19 9:53 AM,04/Nov/15 8:35 PM,,,,,,,,,0,,"1. Validate and test imgproxy compat rules in HA

2. Push imgproxy dns to mediad

3. Profit",,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav7r:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objectapi: bulk_write doesn't add 'resource' member on resource create,AR-1031,114555,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,15/Oct/15 3:38 PM,21/Oct/15 1:43 PM,03/May/19 9:53 AM,21/Oct/15 1:43 PM,,,Object API,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqsjr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radioctl doesn't work in linux (and I'm sure windows),AR-1030,114540,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,15/Oct/15 12:15 AM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,16/Nov/15 6:26 PM,,Mario Release,,,,,,,0,,2015/10/14 20:11:42 user: Current not implemented on linux/amd64,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzakx3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4 activity images use i-stg.iheart.com,AR-1029,114430,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,13/Oct/15 7:57 PM,13/Oct/15 8:23 PM,03/May/19 9:53 AM,13/Oct/15 8:00 PM,,,,,,,,,0,,As a user I want p4 activity images to use the mediaserver url instead of image proxy,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,change p4 activity image url output to use http://i-stg.iheart.com format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzam5j:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This ticket is to migrate the Media server to AWS,AR-1028,114395,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110037,1110037,13/Oct/15 3:42 PM,18/Feb/16 2:06 PM,03/May/19 9:53 AM,18/Feb/16 2:06 PM,,,,,,,,,0,,This ticket is to migrate the Media server to AWS,,1110037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-3,AR-951,Migration of Media server to AWS,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqr7z:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Restart"" support",AR-1026,114376,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,12/Oct/15 9:10 PM,16/Oct/15 6:25 PM,03/May/19 9:53 AM,16/Oct/15 6:25 PM,,,,,,,,,0,,"scheduler/relay should be able to use the same image and pull a new set of config parameters from the environment.

Right now the only option is to recompile the image, which is very annoying.",,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqpqn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add latest catalog attach to schedules,AR-1023,114280,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,09/Oct/15 3:50 PM,21/Oct/15 2:25 PM,03/May/19 9:53 AM,21/Oct/15 2:25 PM,,,,,,,,,0,,As a user I want to take advantage of the latest catalog attach in the schedules tool so I can add talk shows.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Add latest catalog attach to schedules so talk shows are available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqsk7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedules Testing,AR-1022,114170,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,con-ccrnyc1dot,1110204,1110204,07/Oct/15 8:16 PM,10/Dec/15 3:17 PM,03/May/19 9:53 AM,10/Dec/15 3:17 PM,,,,,,,,,0,,Run manual tests on Schedules and signoff for launch,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqnin:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _22_VAGRANT,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,10/Dec/15 3:17 PM;1110204;will test clients after amp stage moved to aws and begins using schedules data,,,,,,,,,
agent drain capability,AR-1021,114159,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,07/Oct/15 7:42 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,03/Nov/15 9:42 PM,,Mario Release,,,,,,,0,,should be able to drain apphost on demand,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav6n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"create state can fail, we should handle this",AR-1020,114152,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,07/Oct/15 7:27 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,16/Oct/15 6:20 PM,,Mario Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavdr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove end state instances after a certain amount of time,AR-1019,114143,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,07/Oct/15 6:53 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,16/Oct/15 6:22 PM,,Mario Release,,,,,,,0,,possibly using ttl index and using heartbeat/healthcheck to change the ttl,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavdj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create state bug,AR-1018,114142,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tlong,tlong,07/Oct/15 6:52 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,15/Oct/15 2:08 PM,,Mario Release,,,,,,,0,,"54,000 create instances is not a good thing",,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavdb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private NPM registry,AR-1017,114134,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tlong,tlong,07/Oct/15 6:01 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,07/Oct/15 6:02 PM,,Mario Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavd3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geo Manager App,AR-1016,114083,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,07/Oct/15 3:21 PM,16/Oct/15 6:55 PM,03/May/19 9:53 AM,16/Oct/15 6:55 PM,,,,,,,,,0,,Create an app to centrally manage the SMT Country/Region/State/Market data to be used universally throughout radioedit.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App creates and manages Country/Region/State/Market data currently captured in SMT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaxef:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,16/Oct/15 6:55 PM;1110204;Taxonomy will be the app to manage geo data. taxonomy has been cleaned up to allow for tag relationship,,,,,,,,,
Create Feature Manager App,AR-1012,114070,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,1110204,1110204,07/Oct/15 2:13 PM,10/Nov/15 3:51 PM,03/May/19 9:53 AM,10/Nov/15 3:51 PM,,,,,,,,,0,,Create an app that will serve as the client feature manager for iheart affiliate countries.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a new app to manage client feature availability
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav8v:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Geo Taxonomy,AR-1005,113967,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,06/Oct/15 2:31 PM,20/Oct/15 2:53 PM,03/May/19 9:53 AM,20/Oct/15 2:53 PM,,,,,,,,,0,,As a user I want the Geo Manager data to be available as tags,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geo Manager data is added to taxonomy and available as tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqppz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update API to include Country tag,AR-1003,113938,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,05/Oct/15 8:40 PM,23/Oct/15 5:17 PM,03/May/19 9:53 AM,23/Oct/15 5:17 PM,,,,,,,,,0,,As a user I want to pull only the P4 Activities for my country/region,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4 API includes the Country tag assigned to a P4 activity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav73:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4 Country Tags,AR-1002,113937,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,05/Oct/15 8:37 PM,23/Oct/15 7:01 PM,03/May/19 9:53 AM,23/Oct/15 7:01 PM,,,,,,,,,0,,As a user I want to identify what country a P4 activity belongs to.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Add Country taxonomy in P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav6v:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,23/Oct/15 5:19 PM;1110204;[~con-ccrnyc1dot] Please test security on P4 activities using Country tags. Thanks. ,,,,,,,,,
objectapi: return data on commit does not reflect ref changes,AR-1001,113888,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,05/Oct/15 3:40 PM,06/Oct/15 5:25 PM,03/May/19 9:53 AM,06/Oct/15 5:25 PM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqovb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,"1. create resource
2. commit resource with refs=['LIVE']
3. Examine return data. .version is present but .refs and .ref_map are empty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update scheduler to link and modern dev practices,AR-1000,113701,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tlong,tlong,30/Sep/15 6:16 PM,01/Oct/15 8:52 PM,03/May/19 9:53 AM,01/Oct/15 8:52 PM,,,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqov3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrate fluentd log handling into agent/scheduler,AR-999,113680,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tterry,tterry,30/Sep/15 2:47 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,06/Oct/15 2:34 PM,,Mario Release,,,,,,,0,,,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavbb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mediaserver should interpret the string ""undefined"" as zero",AR-998,113653,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tlong,tlong,29/Sep/15 9:16 PM,29/Sep/15 9:44 PM,03/May/19 9:53 AM,29/Sep/15 9:44 PM,,,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqoof:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Adswizz Config Prod,AR-996,113636,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,29/Sep/15 5:57 PM,07/Nov/16 2:31 PM,03/May/19 9:53 AM,07/Nov/16 2:31 PM,,,,,,,,,0,,Adswizz config should be updated in prod when apps are updated to no longer use the mod 5 calculation.,,1110204,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adswizz configurator shows 10 clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaxf3:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,07/Nov/16 2:21 PM;amamut;This ticket can be closed.,,,,,,,,,
Adswizz Release Plan,AR-995,113635,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,29/Sep/15 5:56 PM,07/Oct/15 1:43 PM,03/May/19 9:53 AM,07/Oct/15 1:43 PM,,,,,,,,,0,,Launch Adswizz,,1110204,ccrnyc1mcr,rbhatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Run script to cleanup AudioMetrix tags (AM)
2) Run script to cleanup RadioEdit stream metadata (AM)
3) Push Adswizz app to prod and test UI (AM)
4) Verification and sign off (MR/RB)
     a. Run stream export (MR)
     b. Verify AdsWizz data in AMP is unaffected (MR)
     c. Listen to live station on flagship apps to verify ads are being served (RB)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqomn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create haproxy and varnish configs for AO-3149,AR-994,113551,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,tterry,tterry,28/Sep/15 9:01 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,29/Sep/15 9:15 PM,,Mario Release,,,,,,,0,,Create haproxy and varnish configurations to suport AO-3149.,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO-3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzavb3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _17_QUANTUM,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Selector Upgrade,AR-990,113428,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,28/Sep/15 3:45 PM,02/Dec/15 2:59 PM,03/May/19 9:53 AM,02/Dec/15 2:59 PM,,,,,,,,,0,,Full assets upload and tagging application in portable drop-in module for comprehensive media management in any application with zero effort.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asset selector brings full asset management from Assets app (Tagging and metadata options, filtering, searching)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzakvz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _21_UAV,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
